,m_a,br_4tau,xsec_br_4tau,xsec_br_2tau2mu,xsec_br_4mu,br_2tau2mu,br_4mu
70,55.0,0.05352202292,1.031369382,0.0073633320527,1.31423958924e-05,0.000382113754558,6.82013279097e-07
71,55.5,0.05110351496,0.9847647334,0.00703034088866,1.25475891181e-05,0.000364833465895,6.51146295618e-07
72,56.0,0.05458840594,1.051918582,0.00750948585316,1.34022677096e-05,0.000389698280045,6.95499103039e-07
73,56.5,0.05941526858,1.144932225,0.00817320618365,1.45862999272e-05,0.000424141473144,7.56943431967e-07
74,57.0,0.05726509694,1.103498418,0.00787715505961,1.40574673287e-05,0.000408778155675,7.29500120867e-07
75,57.5,0.05243185225,1.010361793,0.00721207092317,1.28701340849e-05,0.000374264189006,6.67884487967e-07
76,58.0,0.0484033264,0.9327320998,0.00665772371297,1.18804973711e-05,0.000345496819536,6.1652814583e-07
77,58.5,0.04464342697,0.8602788377,0.00614036546689,1.09569381504e-05,0.000318648960403,5.68600838116e-07
78,59.0,0.04276159165,0.824015871,0.00588135026737,1.04944219477e-05,0.000305207590454,5.44598959465e-07
79,59.5,0.03980641106,0.7670695412,0.00547473413675,9.76857776846e-06,0.000284106597625,5.06931902829e-07
80,60.0,0.04033989267,0.7773497317,0.00554794190738,9.89890976754e-06,0.000287905651673,5.13695369392e-07
81,60.5,0.04006807523,0.7721118097,0.00551039994515,9.83164198955e-06,0.000285957443955,5.1020456613e-07
82,61.0,0.04274795726,0.8237531364,0.00587878785869,1.0488623703e-05,0.000305074616434,5.44298064505e-07
83,61.5,0.04515979307,0.8702292124,0.00621029805721,1.10797826049e-05,0.000322278051771,5.74975744976e-07
84,62.0,0.05132804719,0.9890914693,0.00705835681925,1.2592465544e-05,0.00036628732847,6.53475119076e-07
85,62.5,0.0556182372,1.071763431,0.00764812070224,1.36442774086e-05,0.000396892615523,7.08057986853e-07
